Program,Paragraph,Line,LocationTag,PathCondition,StatementKind,TargetVariable,FormulaOrValue
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,322,ESCAL056:L322,ALWAYS (Unconditional),MOVE,H-WAGE-ADJ-PYMT-AMT,PPS-WAGE-ADJ-RATE
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,324,ESCAL056:L324,ALWAYS (Unconditional),COMPUTE,H-BSA ROUNDED,(.007184 * (B-PATIENT-HGT ** .725) * (B-PATIENT-WGT ** .425))
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,324,ESCAL056:L324,ALWAYS (Unconditional),COMPUTE,H-BMI ROUNDED,(B-PATIENT-WGT / (B-PATIENT-HGT ** 2)) * 10000.
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,330,ESCAL056:L330,IF H-PATIENT-AGE > 17,COMPUTE,H-BSA-FACTOR ROUNDED,1.037 ** ((H-BSA - 1.84) / .1)
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,330,ESCAL056:L330,IF H-PATIENT-AGE > 17,MOVE,H-BSA-FACTOR,1.000
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,337,ESCAL056:L337,IF H-PATIENT-AGE > 17 AND IF (H-PATIENT-AGE > 17) AND (H-BMI < 18.5),MOVE,H-BMI-FACTOR,1.112
ESCAL056,2000-ASSEMBLE-PPS-VARIABLES,337,ESCAL056:L337,IF H-PATIENT-AGE > 17 AND IF (H-PATIENT-AGE > 17) AND (H-BMI < 18.5),MOVE,H-BMI-FACTOR,1.000
ESCAL056,3000-CALC-PAYMENT,351,ESCAL056:L351,ALWAYS (Unconditional),COMPUTE,H-PYMT-AMT ROUNDED,H-WAGE-ADJ-PYMT-AMT * H-BMI-FACTOR * H-BSA-FACTOR * PPS-BDGT-NEUT-RATE * H-AGE-FACTOR * H-DRUG-ADDON.
ESCAL056,3000-CALC-PAYMENT,355,ESCAL056:L355,ALWAYS (Unconditional),MOVE,CASE-MIX-FCTR-ADJ-RATE,H-PYMT-AMT
ESCAL056,3000-CALC-PAYMENT,356,ESCAL056:L356,ALWAYS (Unconditional),MOVE,COND-CD-73,SPACES
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851'),COMPUTE,H-PYMT-AMT,H-PYMT-AMT + HEMO-PERI-CCPD-AMT
